VEC-00001 | 0.0100 | -0.1518 | 0.0100 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00742 | 0.1767 | -0.3392 | 0.1767 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00743 | 0.0320 | -0.6303 | 0.0320 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00744 | 0.3217 | -0.6344 | 0.3217 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00745 | 0.0398 | -0.0523 | 0.0398 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00746 | -0.0273 | 0.4061 | 0.4061 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00747 | 0.8214 | -0.4342 | 0.8214 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00748 | -0.4603 | 0.4368 | 0.4368 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00749 | -0.2507 | 0.1193 | 0.1193 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00750 | -0.2391 | -0.0397 | -0.0397 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00751 | -0.4260 | 0.5015 | 0.5015 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00752 | 0.4322 | 0.1100 | 0.4322 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00753 | -0.2672 | 0.2727 | 0.2727 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00754 | -0.1331 | 0.1055 | 0.1055 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00755 | 0.4538 | -0.4348 | 0.4538 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00756 | 0.1786 | -0.5635 | 0.1786 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00757 | 0.2968 | 0.2905 | 0.2968 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00758 | -0.2042 | 0.5849 | 0.5849 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00759 | -0.4325 | 0.3856 | 0.3856 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00760 | -0.4013 | -0.1438 | -0.1438 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00761 | -0.0992 | 0.0201 | 0.0201 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00762 | -0.2630 | 0.0074 | 0.0074 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00763 | -0.1048 | 0.0513 | 0.0513 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00764 | -0.4934 | 0.4356 | 0.4356 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00765 | 0.4680 | -0.3316 | 0.4680 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00766 | -0.3043 | 0.1843 | 0.1843 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00767 | -0.4140 | -0.1406 | -0.1406 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00768 | 0.2632 | -0.1719 | 0.2632 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00769 | 0.1748 | 0.0830 | 0.1748 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00770 | -0.0229 | -0.4187 | -0.0229 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00771 | -0.3732 | -0.0491 | -0.0491 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00772 | -0.7468 | 0.2933 | 0.2933 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00773 | 0.1023 | -0.5889 | 0.1023 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00774 | -0.3237 | 0.3129 | 0.3129 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00775 | 0.1667 | -0.2818 | 0.1667 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00776 | -0.2539 | 0.3197 | 0.3197 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00777 | -0.2702 | 0.1294 | 0.1294 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00778 | 0.0820 | -0.4794 | 0.0820 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00779 | 0.0592 | 0.0740 | 0.0740 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00780 | -0.0052 | 0.4368 | 0.4368 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00781 | 0.3223 | -0.2357 | 0.3223 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00782 | -0.2138 | -0.2814 | -0.2138 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00783 | 0.1339 | -0.1395 | 0.1339 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00784 | 0.2990 | -0.1390 | 0.2990 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00785 | -0.6728 | 0.7101 | 0.7101 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00786 | -0.1378 | 0.6530 | 0.6530 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00787 | 0.5775 | -0.3108 | 0.5775 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00788 | 0.1085 | -0.0063 | 0.1085 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00789 | -0.0008 | -0.2992 | -0.0008 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00790 | -0.1207 | 0.2176 | 0.2176 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00791 | -0.4167 | 0.4134 | 0.4134 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00792 | -0.2279 | -0.2198 | -0.2198 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00793 | -0.4974 | 0.3066 | 0.3066 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00794 | -0.2209 | -0.0693 | -0.0693 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00795 | -0.2024 | 0.8035 | 0.8035 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00796 | -0.5104 | -0.0524 | -0.0524 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00797 | 0.4811 | -0.3466 | 0.4811 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00798 | 0.2956 | -0.0626 | 0.2956 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00799 | -0.2412 | -0.0690 | -0.0690 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00800 | 0.4846 | -0.1284 | 0.4846 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00801 | -0.1678 | 0.0429 | 0.0429 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00802 | 0.5345 | -0.8098 | 0.5345 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00803 | 0.5441 | -0.4230 | 0.5441 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00804 | -0.2918 | 0.7024 | 0.7024 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00805 | 0.3212 | -0.3665 | 0.3212 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00806 | -0.2091 | 0.3243 | 0.3243 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00807 | -0.4409 | 0.8059 | 0.8059 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00808 | -0.3263 | 0.1575 | 0.1575 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00809 | 0.4499 | -0.2329 | 0.4499 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00810 | 0.1064 | 0.1575 | 0.1575 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00811 | -0.2052 | 0.2369 | 0.2369 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00812 | -0.1627 | 0.3026 | 0.3026 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00813 | -0.7478 | 0.2224 | 0.2224 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00814 | 0.2892 | -0.0307 | 0.2892 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00815 | 0.5137 | -0.0526 | 0.5137 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00816 | -0.2807 | 0.0049 | 0.0049 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00817 | 0.2573 | -0.2762 | 0.2573 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00818 | -0.0883 | 0.4383 | 0.4383 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00819 | -0.7167 | 0.2080 | 0.2080 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00820 | -0.2470 | 0.4228 | 0.4228 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00821 | -0.7860 | 0.3636 | 0.3636 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00822 | -0.1815 | -0.2635 | -0.1815 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00823 | 0.2617 | 0.0192 | 0.2617 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00824 | -0.1884 | -0.1811 | -0.1811 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00825 | -0.1734 | 0.3706 | 0.3706 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00826 | 0.0255 | -0.3508 | 0.0255 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00827 | -0.0303 | -0.0409 | -0.0303 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00828 | -0.8782 | 0.5664 | 0.5664 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00829 | -0.0580 | 0.2418 | 0.2418 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00830 | 0.6785 | -0.6814 | 0.6785 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00831 | 0.0847 | 0.4058 | 0.4058 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00832 | -0.0171 | -0.3062 | -0.0171 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00833 | -0.1000 | -0.4683 | -0.1000 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00834 | 0.0549 | -0.1900 | 0.0549 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00835 | -0.4167 | 0.1677 | 0.1677 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00836 | 0.1088 | -0.1691 | 0.1088 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00837 | 0.1580 | 0.0838 | 0.1580 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00838 | 0.1832 | -0.0678 | 0.1832 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00839 | 0.3140 | -0.0991 | 0.3140 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00840 | -0.0597 | -0.0485 | -0.0485 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00841 | -0.1019 | -0.0556 | -0.0556 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00842 | 0.8494 | -0.8374 | 0.8494 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00843 | -0.2849 | 0.1510 | 0.1510 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00844 | 0.7680 | -0.6116 | 0.7680 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00845 | -0.1703 | 0.1328 | 0.1328 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00846 | -0.1161 | 0.1637 | 0.1637 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00847 | 0.0116 | -0.2108 | 0.0116 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00848 | 0.0706 | -0.0079 | 0.0706 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00849 | 0.4853 | 0.3268 | 0.4853 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00850 | 0.3668 | -0.6715 | 0.3668 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00851 | -0.5810 | 0.3667 | 0.3667 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00852 | -0.5168 | 0.2194 | 0.2194 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00853 | 0.1483 | 0.5272 | 0.5272 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00854 | 0.0052 | -0.0305 | 0.0052 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00855 | 0.3903 | -0.2898 | 0.3903 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00856 | 0.3535 | -0.6635 | 0.3535 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00857 | 0.0651 | -0.2307 | 0.0651 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00858 | -0.4478 | 0.7472 | 0.7472 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00859 | -0.0547 | -0.1327 | -0.0547 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00860 | -0.4333 | 0.5055 | 0.5055 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00861 | 0.3831 | -0.4363 | 0.3831 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00862 | 0.2166 | 0.0914 | 0.2166 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00863 | -0.2530 | -0.3754 | -0.2530 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00864 | 0.0014 | -0.0177 | 0.0014 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00865 | -0.4123 | 0.0987 | 0.0987 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00866 | 0.0512 | -0.3274 | 0.0512 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00867 | 0.0949 | -0.1262 | 0.0949 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00868 | 0.2392 | -0.0195 | 0.2392 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00869 | 0.4211 | -0.4522 | 0.4211 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00870 | -0.0503 | 0.3460 | 0.3460 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00871 | -0.3441 | 0.6667 | 0.6667 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00872 | -0.5593 | 0.0998 | 0.0998 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00873 | 0.2125 | 0.1167 | 0.2125 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00874 | -0.3725 | 0.2804 | 0.2804 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00875 | -0.0910 | 0.3209 | 0.3209 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00876 | -0.6877 | 0.6048 | 0.6048 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00877 | -0.5265 | 0.2384 | 0.2384 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00878 | -0.2983 | 0.5837 | 0.5837 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00879 | -0.3264 | 0.1516 | 0.1516 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00880 | -0.2528 | 0.3859 | 0.3859 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00881 | 0.3532 | -0.1779 | 0.3532 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00882 | 0.1261 | 0.1609 | 0.1609 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00883 | 0.3998 | 0.2998 | 0.3998 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00884 | -0.5575 | -0.1464 | -0.1464 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00885 | 0.0730 | -0.1349 | 0.0730 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00886 | 0.1919 | -0.1167 | 0.1919 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00887 | -0.2735 | -0.0435 | -0.0435 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00888 | -0.5019 | 0.4530 | 0.4530 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00889 | 0.0630 | -0.2030 | 0.0630 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00890 | -0.0886 | 0.3076 | 0.3076 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00891 | -0.1629 | -0.0699 | -0.0699 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00892 | 0.3768 | -0.3992 | 0.3768 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00893 | 0.5550 | -0.2816 | 0.5550 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00894 | 0.2535 | 0.0432 | 0.2535 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00895 | 0.4576 | -0.3629 | 0.4576 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00896 | 0.1486 | 0.2725 | 0.2725 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00897 | -0.4483 | 0.1722 | 0.1722 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00898 | 0.2023 | -0.0936 | 0.2023 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00899 | 0.1798 | 0.0361 | 0.1798 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00900 | -0.3082 | 0.6732 | 0.6732 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00901 | 0.1554 | -0.4905 | 0.1554 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00902 | 0.0468 | -0.5397 | 0.0468 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00903 | 0.3902 | -0.0915 | 0.3902 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00904 | 0.7737 | -0.6588 | 0.7737 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00905 | -0.1696 | 0.2325 | 0.2325 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00906 | 0.1859 | -0.2391 | 0.1859 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00907 | -0.1746 | 0.4432 | 0.4432 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00908 | -0.7530 | 0.4783 | 0.4783 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00909 | 0.0708 | -0.4097 | 0.0708 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00910 | -0.4730 | 0.4481 | 0.4481 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00911 | -0.6959 | 0.1789 | 0.1789 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00912 | 0.3120 | -0.3960 | 0.3120 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00913 | -0.4763 | 0.0823 | 0.0823 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00914 | 0.1679 | 0.1943 | 0.1943 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00915 | -0.4748 | 0.2567 | 0.2567 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00916 | -0.5196 | 0.0904 | 0.0904 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00917 | 0.0803 | -0.1206 | 0.0803 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00918 | -0.0119 | 0.2765 | 0.2765 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00919 | -0.0233 | -0.0976 | -0.0233 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00920 | 0.4868 | -0.3597 | 0.4868 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00921 | 0.0184 | 0.2646 | 0.2646 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00922 | -0.3561 | 0.0934 | 0.0934 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00923 | -0.0741 | 0.1703 | 0.1703 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00924 | -0.4695 | 0.2641 | 0.2641 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
